,Field ID,Unnamed: 0,Unique Name,Question Stem,Data type,Full Answer,Select one/Toggle multiple/Enter integer answer,Category
38,6139.0,Gas.or.solid.fuel.cooking.heating...Instance.0_neg7,D5A,Do you have any of the following in your home? (You can select more than one answer),Logical,-7 : None of the above,Select one answer,Sociodemographics
46,709.0,Number.in.household...Instance.0_Lower.third,D7,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",Logical,,Enter integer answer,Sociodemographics
47,709.0,Number.in.household...Instance.0_Middle.third,D7,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",Logical,,Enter integer answer,Sociodemographics
48,709.0,Number.in.household...Instance.0_Upper.third,D7,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",Logical,,Enter integer answer,Sociodemographics
49,6141.0,How.are.people.in.household.related.to.participant...Instance.0_1,D7A,How are the other people who live with you related to you? (You can select more than one answer),Logical,"1 : Husband, wife or partner",Toggle multiple answer,Sociodemographics
50,6141.0,How.are.people.in.household.related.to.participant...Instance.0_2,D7A,How are the other people who live with you related to you? (You can select more than one answer),Logical,2 : Son and/or daughter (include step-children),Toggle multiple answer,Sociodemographics
52,6141.0,How.are.people.in.household.related.to.participant...Instance.0_4,D7A,How are the other people who live with you related to you? (You can select more than one answer),Logical,4 : Mother and/or father,Toggle multiple answer,Sociodemographics
53,6141.0,How.are.people.in.household.related.to.participant...Instance.0_6,D7A,How are the other people who live with you related to you? (You can select more than one answer),Logical,6 : Grandchild,Toggle multiple answer,Sociodemographics
55,6141.0,How.are.people.in.household.related.to.participant...Instance.0_8,D7A,How are the other people who live with you related to you? (You can select more than one answer),Logical,8 : Other unrelated,Toggle multiple answer,Sociodemographics
56,728.0,Number.of.vehicles.in.household...Instance.0_1,D8,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",Logical,1 : None,Select one answer,Sociodemographics
57,728.0,Number.of.vehicles.in.household...Instance.0_2,D8,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",Logical,2 : One,Select one answer,Sociodemographics
58,728.0,Number.of.vehicles.in.household...Instance.0_3,D8,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",Logical,3 : Two,Select one answer,Sociodemographics
59,728.0,Number.of.vehicles.in.household...Instance.0_4,D8,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",Logical,4 : Three,Select one answer,Sociodemographics
60,728.0,Number.of.vehicles.in.household...Instance.0_5,D8,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",Logical,5 : Four or more,Select one answer,Sociodemographics
61,738.0,Average.total.household.income.before.tax...Instance.0_1,D10,What is the average total income before tax received by your HOUSEHOLD?,Logical,"1 : Less than £18,000",Select one answer,Sociodemographics
62,738.0,Average.total.household.income.before.tax...Instance.0_2,D10,What is the average total income before tax received by your HOUSEHOLD?,Logical,"2 : £18,000 to £30,999",Select one answer,Sociodemographics
63,738.0,Average.total.household.income.before.tax...Instance.0_3,D10,What is the average total income before tax received by your HOUSEHOLD?,Logical,"3 : £31,000 to £51,999",Select one answer,Sociodemographics
64,738.0,Average.total.household.income.before.tax...Instance.0_4,D10,What is the average total income before tax received by your HOUSEHOLD?,Logical,"4 : £52,000 to £100,000",Select one answer,Sociodemographics
65,738.0,Average.total.household.income.before.tax...Instance.0_5,D10,What is the average total income before tax received by your HOUSEHOLD?,Logical,"5 : Greater than £100,000",Select one answer,Sociodemographics
66,6142.0,Current.employment.status...Instance.0_1,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,1 : In paid employment or self-employed,Toggle multiple answer,Sociodemographics
67,6142.0,Current.employment.status...Instance.0_2,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,2 : Retired,Toggle multiple answer,Sociodemographics
68,6142.0,Current.employment.status...Instance.0_3,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,3 : Looking after home and/or family,Toggle multiple answer,Sociodemographics
69,6142.0,Current.employment.status...Instance.0_4,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,4 : Unable to work because of sickness or disability,Toggle multiple answer,Sociodemographics
72,6142.0,Current.employment.status...Instance.0_7,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,7 : Full or part-time student,Toggle multiple answer,Sociodemographics
73,6142.0,Current.employment.status...Instance.0_neg7,D9,Which of the following describes your current situation? (You can select more than one answer),Logical,-7 : None of the above,Select one answer,Sociodemographics
74,777.0,Frequency.of.travelling.from.home.to.job.workplace...Instance.0_Lower.third,D9G,"How many times a WEEK do you travel from home to your main work?
(count outward journeys only; put 0 if you always work from home)",Logical,,Enter integer answer,Sociodemographics
75,777.0,Frequency.of.travelling.from.home.to.job.workplace...Instance.0_Middle.third,D9G,"How many times a WEEK do you travel from home to your main work?
(count outward journeys only; put 0 if you always work from home)",Logical,,Enter integer answer,Sociodemographics
77,796.0,Distance.between.home.and.job.workplace...Instance.0_Lower.third,D9F,About how many miles is it between your home and your work?,Logical,,Enter integer answer,Sociodemographics
78,796.0,Distance.between.home.and.job.workplace...Instance.0_Middle.third,D9F,About how many miles is it between your home and your work?,Logical,,Enter integer answer,Sociodemographics
79,796.0,Distance.between.home.and.job.workplace...Instance.0_Upper.third,D9F,About how many miles is it between your home and your work?,Logical,,Enter integer answer,Sociodemographics
80,757.0,Time.employed.in.main.current.job...Instance.0_Lower.third,D9AA,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",Logical,,Enter integer answer,Sociodemographics
81,757.0,Time.employed.in.main.current.job...Instance.0_Middle.third,D9AA,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",Logical,,Enter integer answer,Sociodemographics
82,757.0,Time.employed.in.main.current.job...Instance.0_Upper.third,D9AA,"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)",Logical,,Enter integer answer,Sociodemographics
83,767.0,Length.of.working.week.for.main.job...Instance.0_Lower.third,D9A,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",Logical,,Enter integer answer,Sociodemographics
84,767.0,Length.of.working.week.for.main.job...Instance.0_Middle.third,D9A,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",Logical,,Enter integer answer,Sociodemographics
85,767.0,Length.of.working.week.for.main.job...Instance.0_Upper.third,D9A,"In a typical WEEK, how many hours do you spend at work?
(Do not include hours travelling to and from work)",Logical,,Enter integer answer,Sociodemographics
86,6143.0,Transport.type.for.commuting.to.job.workplace...Instance.0_1,D9E,What types of transport do you use to get to and from work? (You can select more than one answer),Logical,1 : Car/motor vehicle,Toggle multiple answer,Sociodemographics
87,6143.0,Transport.type.for.commuting.to.job.workplace...Instance.0_2,D9E,What types of transport do you use to get to and from work? (You can select more than one answer),Logical,2 : Walk,Toggle multiple answer,Sociodemographics
88,6143.0,Transport.type.for.commuting.to.job.workplace...Instance.0_3,D9E,What types of transport do you use to get to and from work? (You can select more than one answer),Logical,3 : Public transport,Toggle multiple answer,Sociodemographics
89,6143.0,Transport.type.for.commuting.to.job.workplace...Instance.0_4,D9E,What types of transport do you use to get to and from work? (You can select more than one answer),Logical,4 : Cycle,Toggle multiple answer,Sociodemographics
90,6143.0,Transport.type.for.commuting.to.job.workplace...Instance.0_neg7,D9E,What types of transport do you use to get to and from work? (You can select more than one answer),Logical,-7 : None of the above,Select one answer,Sociodemographics
91,806.0,Job.involves.mainly.walking.or.standing...Instance.0_1,D9B,Does your work involve walking or standing for most of the time?,Logical,1 : Never/rarely,Select one answer,Sociodemographics
92,806.0,Job.involves.mainly.walking.or.standing...Instance.0_2,D9B,Does your work involve walking or standing for most of the time?,Logical,2 : Sometimes,Select one answer,Sociodemographics
94,806.0,Job.involves.mainly.walking.or.standing...Instance.0_4,D9B,Does your work involve walking or standing for most of the time?,Logical,4 : Always,Select one answer,Sociodemographics
95,816.0,Job.involves.heavy.manual.or.physical.work...Instance.0_1,D9C,Does your work involve heavy manual or physical work?,Logical,1 : Never/rarely,Select one answer,Sociodemographics
96,816.0,Job.involves.heavy.manual.or.physical.work...Instance.0_2,D9C,Does your work involve heavy manual or physical work?,Logical,2 : Sometimes,Select one answer,Sociodemographics
99,826.0,Job.involves.shift.work...Instance.0_1,D9D,Does your work involve shift work?,Logical,1 : Never/rarely,Select one answer,Sociodemographics
100,826.0,Job.involves.shift.work...Instance.0_2,D9D,Does your work involve shift work?,Logical,2 : Sometimes,Select one answer,Sociodemographics
101,826.0,Job.involves.shift.work...Instance.0_3,D9D,Does your work involve shift work?,Logical,3 : Usually,Select one answer,Sociodemographics
102,826.0,Job.involves.shift.work...Instance.0_4,D9D,Does your work involve shift work?,Logical,4 : Always,Select one answer,Sociodemographics
103,3426.0,Job.involves.night.shift.work...Instance.0_1,D9DA,Does your work involve night shifts?,Logical,1 : Never/rarely,Select one answer,Sociodemographics
104,3426.0,Job.involves.night.shift.work...Instance.0_2,D9DA,Does your work involve night shifts?,Logical,2 : Sometimes,Select one answer,Sociodemographics
105,3426.0,Job.involves.night.shift.work...Instance.0_3,D9DA,Does your work involve night shifts?,Logical,3 : Usually,Select one answer,Sociodemographics
107,6138.0,Qualifications...Instance.0_1,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,1 : College or University degree,Toggle multiple answer,Sociodemographics
108,6138.0,Qualifications...Instance.0_2,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,2 : A levels/AS levels or equivalent,Toggle multiple answer,Sociodemographics
109,6138.0,Qualifications...Instance.0_3,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,3 : O levels/GCSEs or equivalent,Toggle multiple answer,Sociodemographics
110,6138.0,Qualifications...Instance.0_4,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,4 : CSEs or equivalent,Toggle multiple answer,Sociodemographics
112,6138.0,Qualifications...Instance.0_6,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,"6 : Other professional qualifications eg: nursing, teaching",Toggle multiple answer,Sociodemographics
113,6138.0,Qualifications...Instance.0_neg7,D12,"Which of the following qualifications do you have?
(You can select more than one)",Logical,-7 : None of the above,Select one answer,Sociodemographics
114,845.0,Age.completed.full.time.education...Instance.0_Lower.third,D11,At what age did you complete your continuous full time education?,Logical,,Enter integer answer,Sociodemographics
115,845.0,Age.completed.full.time.education...Instance.0_Middle.third,D11,At what age did you complete your continuous full time education?,Logical,,Enter integer answer,Sociodemographics
116,845.0,Age.completed.full.time.education...Instance.0_Upper.third,D11,At what age did you complete your continuous full time education?,Logical,,Enter integer answer,Sociodemographics
125,3659.0,Year.immigrated.to.UK..United.Kingdom....Instance.0_Upper.third,D2A,What year did you first come to live in the United Kingdom?,Logical,,Enter integer answer,Sociodemographics
126,21000.0,Ethnic.background...Instance.0_1,YE1,What is your ethnic group?,Logical,1 : White,Select one answer,Sociodemographics
128,21000.0,Ethnic.background...Instance.0_1002,YE1A,What is your ethnic background?,Logical,2 : Irish,Select one answer,Sociodemographics
129,21000.0,Ethnic.background...Instance.0_1003,YE1A,What is your ethnic background?,Logical,3 : Any other white background,Select one answer,Sociodemographics
131,21000.0,Ethnic.background...Instance.0_2003,YE1B,What is your ethnic background?,Logical,3 : White and Asian,Select one answer,Sociodemographics
133,21000.0,Ethnic.background...Instance.0_3001,YE1C,What is your ethnic background?,Logical,1 :Indian,Select one answer,Sociodemographics
134,21000.0,Ethnic.background...Instance.0_3002,YE1C,What is your ethnic background?,Logical,2 :Pakistani,Select one answer,Sociodemographics
136,21000.0,Ethnic.background...Instance.0_4001,YE1D,What is your ethnic background?,Logical,1 : Caribbean,Select one answer,Sociodemographics
137,21000.0,Ethnic.background...Instance.0_4002,YE1D,What is your ethnic background?,Logical,2 : African,Select one answer,Sociodemographics
138,21000.0,Ethnic.background...Instance.0_5,YE1,What is your ethnic group?,Logical,5 : Chinese,Select one answer,Sociodemographics
139,21000.0,Ethnic.background...Instance.0_6,YE1,What is your ethnic group?,Logical,6 : Other ethnic group,Select one answer,Sociodemographics
140,6146.0,Attendance.disability.mobility.allowance...Instance.0_1,H4A,Do you receive any of the following? (You can select more than one answer),Logical,1 : Attendance allowance,Toggle multiple answer,Sociodemographics
141,6146.0,Attendance.disability.mobility.allowance...Instance.0_2,H4A,Do you receive any of the following? (You can select more than one answer),Logical,2 : Disability living allowance,Toggle multiple answer,Sociodemographics
142,6146.0,Attendance.disability.mobility.allowance...Instance.0_3,H4A,Do you receive any of the following? (You can select more than one answer),Logical,3 : Blue badge,Toggle multiple answer,Sociodemographics
143,6146.0,Attendance.disability.mobility.allowance...Instance.0_neg7,H4A,Do you receive any of the following? (You can select more than one answer),Logical,-7 : None of the above,Select one answer,Sociodemographics
148,1100.0,Drive.faster.than.motorway.speed.limit...Instance.0_1,WP8,How often do you drive faster than the speed limit on the motorway?,Logical,1 : Never/rarely,Select one answer,Lifestyle and environment
150,1100.0,Drive.faster.than.motorway.speed.limit...Instance.0_3,WP8,How often do you drive faster than the speed limit on the motorway?,Logical,3 : Often,Select one answer,Lifestyle and environment
151,1100.0,Drive.faster.than.motorway.speed.limit...Instance.0_4,WP8,How often do you drive faster than the speed limit on the motorway?,Logical,4 : Most of the time,Select one answer,Lifestyle and environment
152,1100.0,Drive.faster.than.motorway.speed.limit...Instance.0_5,WP8,How often do you drive faster than the speed limit on the motorway?,Logical,5 : Do not drive on the motorway,Select one answer,Lifestyle and environment
153,6164.0,Types.of.physical.activity.in.last.4.weeks...Instance.0_1,WP4B1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",Logical,1 :Walking for pleasure (not as a means of transport),Toggle multiple answer,Lifestyle and environment
154,6164.0,Types.of.physical.activity.in.last.4.weeks...Instance.0_2,WP4B1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",Logical,"2 :Other exercises (eg: swimming, cycling, keep fit, bowling)",Toggle multiple answer,Lifestyle and environment
155,6164.0,Types.of.physical.activity.in.last.4.weeks...Instance.0_3,WP4B1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",Logical,3 :Strenuous sports,Toggle multiple answer,Lifestyle and environment
156,6164.0,Types.of.physical.activity.in.last.4.weeks...Instance.0_4,WP4B1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",Logical,"4 :Light DIY (eg: pruning, watering the lawn)",Toggle multiple answer,Lifestyle and environment
158,6164.0,Types.of.physical.activity.in.last.4.weeks...Instance.0_neg7,WP4B1,"In the last 4 weeks did you spend any time doing the following?
(You can select more than one answer)",Logical,-7 : None of the above,Select one answer,Lifestyle and environment
162,2634.0,Duration.of.heavy.DIY...Instance.0_4,WP4E5,"Each time you did heavy DIY, about how long did you spend doing it?",Logical,4 : Between 1 hour and 1½ hours,Select one answer,Lifestyle and environment
163,2634.0,Duration.of.heavy.DIY...Instance.0_5,WP4E5,"Each time you did heavy DIY, about how long did you spend doing it?",Logical,5 : Between 1½ hours and 2 hours,Select one answer,Lifestyle and environment
165,2634.0,Duration.of.heavy.DIY...Instance.0_7,WP4E5,"Each time you did heavy DIY, about how long did you spend doing it?",Logical,7 : Over 3 hours,Select one answer,Lifestyle and environment
168,1021.0,Duration.of.light.DIY...Instance.0_3,WP4E4,"Each time you did light DIY, about how long did you spend doing it?",Logical,3 : Between 30 minutes and 1 hour,Select one answer,Lifestyle and environment
169,1021.0,Duration.of.light.DIY...Instance.0_4,WP4E4,"Each time you did light DIY, about how long did you spend doing it?",Logical,4 : Between 1 hour and 1½ hours,Select one answer,Lifestyle and environment
172,1021.0,Duration.of.light.DIY...Instance.0_7,WP4E4,"Each time you did light DIY, about how long did you spend doing it?",Logical,7 : Over 3 hours,Select one answer,Lifestyle and environment
174,894.0,Duration.of.moderate.activity...Instance.0_Middle.third,WP2A,How many minutes did you usually spend doing moderate activities on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
175,894.0,Duration.of.moderate.activity...Instance.0_Upper.third,WP2A,How many minutes did you usually spend doing moderate activities on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
177,3647.0,Duration.of.other.exercises...Instance.0_2,WP4E2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",Logical,2 : Between 15 and 30 minutes,Select one answer,Lifestyle and environment
178,3647.0,Duration.of.other.exercises...Instance.0_3,WP4E2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",Logical,3 : Between 30 minutes and1 hour,Select one answer,Lifestyle and environment
179,3647.0,Duration.of.other.exercises...Instance.0_4,WP4E2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",Logical,4 : Between 1 hour and 1½ hours,Select one answer,Lifestyle and environment
180,3647.0,Duration.of.other.exercises...Instance.0_5,WP4E2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",Logical,5 : Between 1½ hours and 2 hours,Select one answer,Lifestyle and environment
182,3647.0,Duration.of.other.exercises...Instance.0_7,WP4E2,"Each time you did other exercises such as swimming, cycling, keep fit, about how long did you spend doing them?",Logical,7 : Over 3 hours,Select one answer,Lifestyle and environment
183,1001.0,Duration.of.strenuous.sports...Instance.0_2,WP4E3,"Each time you did strenuous sports, about how long did you spend doing it?",Logical,2 : Between 15 and 30 minutes,Select one answer,Lifestyle and environment
184,1001.0,Duration.of.strenuous.sports...Instance.0_3,WP4E3,"Each time you did strenuous sports, about how long did you spend doing it?",Logical,3 : Between 30 minutes and1 hour,Select one answer,Lifestyle and environment
185,1001.0,Duration.of.strenuous.sports...Instance.0_4,WP4E3,"Each time you did strenuous sports, about how long did you spend doing it?",Logical,4 : Between 1 hour and 1½ hours,Select one answer,Lifestyle and environment
186,1001.0,Duration.of.strenuous.sports...Instance.0_5,WP4E3,"Each time you did strenuous sports, about how long did you spend doing it?",Logical,5 : Between 1½ hours and 2 hours,Select one answer,Lifestyle and environment
187,1001.0,Duration.of.strenuous.sports...Instance.0_6,WP4E3,"Each time you did strenuous sports, about how long did you spend doing it?",Logical,6 : Between 2 and 3 hours,Select one answer,Lifestyle and environment
190,914.0,Duration.of.vigorous.activity...Instance.0_Middle.third,WP3A,How many minutes did you usually spend doing vigorous activities on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
191,914.0,Duration.of.vigorous.activity...Instance.0_Upper.third,WP3A,How many minutes did you usually spend doing vigorous activities on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
194,864.0,Number.of.days.week.walked.10..minutes...Instance.0_neg2,WP1,"In a typical WEEK, on how many days did you walk for at least 10 minutes
at a time?
(Include walking that you do at work, travelling to and from
work, and for sport or leisure)",Logical,-2 : Unable to walk,Select one answer,Lifestyle and environment
196,874.0,Duration.of.walks...Instance.0_Middle.third,WP1A,How many minutes did you usually spend walking on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
197,874.0,Duration.of.walks...Instance.0_Upper.third,WP1A,How many minutes did you usually spend walking on a typical DAY?,Logical,,Enter integer answer,Lifestyle and environment
198,981.0,Duration.walking.for.pleasure...Instance.0_1,WP4E1,"Each time you went walking for pleasure, about how long did you spend doing it?",Logical,1 : Less than 15 minutes,Select one answer,Lifestyle and environment
200,981.0,Duration.walking.for.pleasure...Instance.0_3,WP4E1,"Each time you went walking for pleasure, about how long did you spend doing it?",Logical,3 : Between 30 minutes and1 hour,Select one answer,Lifestyle and environment
201,981.0,Duration.walking.for.pleasure...Instance.0_4,WP4E1,"Each time you went walking for pleasure, about how long did you spend doing it?",Logical,4 : Between 1 hour and 1½ hours,Select one answer,Lifestyle and environment
202,981.0,Duration.walking.for.pleasure...Instance.0_5,WP4E1,"Each time you went walking for pleasure, about how long did you spend doing it?",Logical,5 : Between 1½ hours and 2 hours,Select one answer,Lifestyle and environment
203,981.0,Duration.walking.for.pleasure...Instance.0_6,WP4E1,"Each time you went walking for pleasure, about how long did you spend doing it?",Logical,6 : Between 2 and 3 hours,Select one answer,Lifestyle and environment
205,2624.0,Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_1,WP4C5,How many times in the last 4 weeks did you do heavy DIY?,Logical,1 : Once in the last 4 weeks,Select one answer,Lifestyle and environment
207,2624.0,Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_3,WP4C5,How many times in the last 4 weeks did you do heavy DIY?,Logical,3 : Once a week,Select one answer,Lifestyle and environment
208,2624.0,Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_4,WP4C5,How many times in the last 4 weeks did you do heavy DIY?,Logical,4 : 2-3 times a week,Select one answer,Lifestyle and environment
209,2624.0,Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_5,WP4C5,How many times in the last 4 weeks did you do heavy DIY?,Logical,5 : 4-5 times a week,Select one answer,Lifestyle and environment
210,2624.0,Frequency.of.heavy.DIY.in.last.4.weeks...Instance.0_6,WP4C5,How many times in the last 4 weeks did you do heavy DIY?,Logical,6 : Every day,Select one answer,Lifestyle and environment
211,1011.0,Frequency.of.light.DIY.in.last.4.weeks...Instance.0_1,WP4C4,How many times in the last 4 weeks did you do light DIY?,Logical,1 : Once in the last 4 weeks,Select one answer,Lifestyle and environment
212,1011.0,Frequency.of.light.DIY.in.last.4.weeks...Instance.0_2,WP4C4,How many times in the last 4 weeks did you do light DIY?,Logical,2 : 2-3 times in the last 4 weeks,Select one answer,Lifestyle and environment
213,1011.0,Frequency.of.light.DIY.in.last.4.weeks...Instance.0_3,WP4C4,How many times in the last 4 weeks did you do light DIY?,Logical,3 : Once a week,Select one answer,Lifestyle and environment
216,1011.0,Frequency.of.light.DIY.in.last.4.weeks...Instance.0_6,WP4C4,How many times in the last 4 weeks did you do light DIY?,Logical,6 : Every day,Select one answer,Lifestyle and environment
217,3637.0,Frequency.of.other.exercises.in.last.4.weeks...Instance.0_1,WP4C2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",Logical,1 : Once in the last 4 weeks,Select one answer,Lifestyle and environment
218,3637.0,Frequency.of.other.exercises.in.last.4.weeks...Instance.0_2,WP4C2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",Logical,2 : 2-3 times in the last 4 weeks,Select one answer,Lifestyle and environment
219,3637.0,Frequency.of.other.exercises.in.last.4.weeks...Instance.0_3,WP4C2,"How many times in the last 4 weeks did you do other exercises such as swimming, cycling, keep fit?",Logical,3 : Once a week,Select one answer,Lifestyle and environment
